id,location,registered voters,envelopes,valid votes,ANO 2011,Blok proti islam.-Obran.domova,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Dobrá volba 2016,Dělnic.str.sociální spravedl.,Komunistická str.Čech a Moravy,Křesť.demokr.unie-Čs.str.lid.,Občanská demokratická aliance,Občanská demokratická strana,REALISTÉ,"ROZUMNÍ-stop migraci,diktát.EU",Radostné Česko,Referendum o Evropské unii,SPORTOVCI,SPR-Republ.str.Čsl. M.Sládka,STAROSTOVÉ A NEZÁVISLÍ,Strana Práv Občanů,Strana svobodných občanů,Strana zelených,Svob.a př.dem.-T.Okamura (SPD),TOP 09,Unie H.A.V.E.L.,Česká pirátská strana,Česká str.sociálně demokrat.,Česká strana národně sociální,Řád národa - Vlastenecká unie
534269,Nesvačily,128,105,105,24,0,0,0,0,13,5,0,14,0,1,1,0,2,0,3,0,0,1,10,9,0,11,11,0,0
531588,Neumětely,437,250,250,74,0,0,0,0,26,7,0,36,2,3,0,0,0,0,5,0,4,1,38,7,2,21,24,0,0
531596,Nižbor,1 614,1 038,1 033,273,1,1,0,2,74,30,0,160,5,5,0,4,1,4,51,1,9,26,99,65,0,158,61,0,3
531600,Nový Jáchymov,540,354,350,105,0,1,0,1,36,10,2,43,3,4,0,0,0,2,7,0,9,6,39,24,0,33,24,0,1
531626,Olešná,343,227,225,80,0,1,0,3,20,5,1,23,0,3,0,1,0,0,5,1,2,1,23,10,0,24,21,0,1
531634,Osek,633,421,417,159,1,0,1,0,38,9,0,49,4,3,0,1,1,3,20,0,3,4,24,10,0,52,35,0,0
531642,Osov,290,202,199,51,0,0,1,0,16,14,0,26,2,1,0,0,2,2,9,0,1,4,13,11,0,30,15,0,1
534111,Otmíče,142,107,105,23,0,0,0,0,9,4,0,12,1,1,0,0,0,0,3,0,4,0,12,11,0,21,4,0,0
531669,Otročiněves,411,293,293,90,1,0,0,1,38,6,2,34,3,2,0,0,1,1,20,1,2,7,24,7,0,42,11,0,0
534285,Podbrdy,176,122,122,24,0,0,0,0,22,7,0,12,1,0,0,0,0,0,9,0,3,1,20,2,1,13,7,0,0
531685,Podluhy,535,337,334,108,0,0,0,0,41,5,0,44,1,5,0,0,1,0,12,0,2,3,31,10,0,39,32,0,0
531693,Praskolesy,690,465,464,132,0,0,1,0,45,10,2,58,6,4,0,0,0,2,23,1,14,6,37,19,0,60,42,1,1
531715,Rpety,403,259,259,84,0,0,0,1,27,3,0,34,1,3,0,0,0,0,9,5,5,3,23,12,0,27,20,0,2
533963,Skřipel,100,60,60,26,0,0,2,0,0,2,0,7,1,0,0,0,0,0,1,0,0,0,5,4,0,9,3,0,0
531740,Skuhrov,384,259,259,62,0,0,0,0,19,6,2,33,0,1,0,0,0,0,23,3,5,6,23,25,0,27,24,0,0
531758,Srbsko,411,271,270,72,1,0,0,0,12,8,0,53,4,3,0,0,0,0,25,0,3,5,14,20,0,34,15,1,0
531766,Stašov,362,220,220,69,0,0,0,1,22,5,0,20,1,2,0,1,1,0,9,0,2,1,14,23,0,19,29,0,1
531782,Suchomasty,360,238,236,59,0,0,0,0,45,8,0,23,1,2,0,0,1,0,5,0,2,5,35,9,0,28,12,0,1
531791,Svatá,407,288,287,100,0,0,0,0,32,9,1,31,1,1,0,0,0,0,14,1,3,0,19,19,0,33,23,0,0
531804,Svatý Jan pod Skalou,132,98,94,19,0,0,0,0,3,11,2,15,0,0,0,0,0,0,8,0,1,2,1,11,1,14,6,0,0
531812,Svinaře,524,372,372,79,2,0,0,0,17,7,1,71,3,4,0,0,0,0,22,1,10,10,20,46,0,71,8,0,0
531839,Tetín,691,484,480,106,0,0,0,4,36,19,0,69,1,0,1,0,0,3,39,0,5,3,62,30,1,63,37,0,1
531847,Tlustice,753,505,503,166,0,0,0,1,65,9,1,60,6,3,1,0,3,0,21,1,8,5,44,22,0,54,32,0,1
531855,Tmaň,891,502,499,170,0,0,1,1,44,6,1,55,6,6,1,2,1,0,28,1,15,10,48,18,1,45,36,0,3
534463,Točník,195,129,127,36,0,0,0,1,6,7,0,13,0,1,0,0,0,1,5,0,4,2,19,11,1,12,8,0,0
533106,Trubín,337,242,238,65,1,5,0,0,21,4,0,51,1,0,0,0,0,1,17,0,9,1,25,12,0,21,3,1,0
531880,Trubská,158,106,106,39,0,0,0,0,16,2,0,10,0,1,0,0,0,1,6,0,1,0,6,2,0,16,6,0,0
531901,Újezd,503,367,363,116,0,0,2,0,30,24,1,53,0,5,0,0,1,0,28,1,2,1,33,6,0,35,24,1,0
531910,Velký Chlumec,344,236,235,65,1,0,1,1,19,8,2,31,0,11,0,1,0,1,15,0,0,2,16,7,0,38,15,0,1
534234,Vinařice,79,58,58,25,0,0,0,0,6,0,0,8,0,0,0,0,0,0,2,0,0,0,2,2,0,8,5,0,0
534048,Vižina,217,159,159,53,0,0,0,0,12,3,0,31,0,0,0,0,0,0,8,0,3,5,18,5,0,12,9,0,0
531944,Vráž,907,600,598,176,2,0,1,1,55,14,1,83,4,3,0,1,1,0,34,1,9,6,51,27,0,82,45,0,1
531952,Všeradice,344,226,226,64,0,0,0,0,18,16,1,27,0,2,0,0,1,1,8,0,4,2,26,12,0,30,14,0,0
531961,Vysoký Újezd,580,373,370,80,0,1,0,0,23,13,0,58,3,4,0,0,0,1,24,0,8,4,30,23,1,77,20,0,0
531979,Zadní Třebaň,663,497,490,130,1,1,0,0,22,19,1,69,7,8,0,0,0,1,33,1,15,6,31,41,1,69,33,0,1
531995,Zaječov,1 181,768,763,228,1,0,0,5,119,16,0,94,3,5,1,1,1,1,27,7,9,13,65,32,0,79,53,1,2
532002,Záluží,392,228,227,68,0,1,0,1,39,6,0,22,0,2,0,0,1,3,12,3,0,3,31,4,0,15,16,0,0
532011,Zdice,3 218,1 958,1 945,591,0,0,0,2,183,48,7,268,10,19,3,0,3,2,91,4,25,29,180,77,1,190,212,0,0
532029,Žebrák,1 644,1 105,1 096,320,3,2,0,4,125,29,0,129,7,16,1,1,2,3,37,2,27,19,102,62,1,123,77,1,3
599417,Železná,207,146,146,53,0,0,0,0,20,3,1,21,0,0,0,0,0,0,3,0,2,0,5,12,0,21,5,0,0
