id,location,registered voters,envelopes,valid votes,ANO 2011,Blok proti islam.-Obran.domova,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Dobrá volba 2016,Dělnic.str.sociální spravedl.,Komunistická str.Čech a Moravy,Křesť.demokr.unie-Čs.str.lid.,OBČANÉ 2011-SPRAVEDL. PRO LIDI,Občanská demokratická aliance,Občanská demokratická strana,REALISTÉ,"ROZUMNÍ-stop migraci,diktát.EU",Radostné Česko,Referendum o Evropské unii,SPORTOVCI,SPR-Republ.str.Čsl. M.Sládka,STAROSTOVÉ A NEZÁVISLÍ,Společ.proti výst.v Prok.údolí,Strana Práv Občanů,Strana svobodných občanů,Strana zelených,Svob.a př.dem.-T.Okamura (SPD),TOP 09,Unie H.A.V.E.L.,Volte Pr.Blok www.cibulka.net,Česká pirátská strana,Česká str.sociálně demokrat.,Česká strana národně sociální,Řád národa - Vlastenecká unie
547051,Praha-Libuš,6 550,4 542,4 509,1 017,3,4,3,2,218,173,1,10,733,48,27,1,3,9,4,188,0,25,106,77,285,510,1,6,830,218,2,5
539449,Praha-Lipence,1 935,1 450,1 442,295,0,0,1,2,55,51,1,3,330,14,4,0,2,13,3,56,0,4,33,22,72,201,0,3,220,57,0,0
539465,Praha-Lochkov,594,420,418,101,1,0,0,0,16,16,0,1,73,4,5,0,2,2,1,23,0,1,15,5,23,40,0,0,70,18,0,1
547140,Praha-Lysolaje,888,685,680,125,0,0,1,0,12,56,0,0,78,5,0,1,0,1,0,131,0,3,12,19,16,110,0,1,89,20,0,0
547158,Praha-Nebušice,1 742,1 188,1 181,283,1,0,2,1,50,42,1,1,186,17,3,0,2,4,0,113,2,3,11,35,63,128,0,1,177,52,0,3
538531,Praha-Nedvězí,228,167,167,37,0,0,0,2,6,5,0,0,31,4,1,3,0,0,0,4,0,1,5,2,14,14,0,0,27,7,0,4
547395,Praha-Petrovice,4 717,3 142,3 120,712,3,3,0,3,152,132,0,8,450,31,8,0,2,7,5,161,2,9,75,75,173,309,0,4,585,203,0,8
539589,Praha-Přední Kopanina,399,314,311,58,1,1,0,0,10,15,0,2,67,4,3,0,0,3,0,12,0,0,5,7,15,31,0,0,62,15,0,0
539635,Praha-Řeporyje,2 947,2 074,2 069,425,1,0,1,1,49,109,0,3,405,20,5,0,1,4,4,105,5,4,55,43,105,235,1,2,372,107,0,7
538736,Praha-Satalice,1 658,1 259,1 248,254,2,0,1,1,38,61,2,0,223,14,6,2,2,5,0,141,0,2,35,16,74,132,0,0,168,68,0,1
539678,Praha-Slivenec,2 524,1 857,1 844,305,3,0,0,1,53,58,0,1,355,20,14,0,0,5,3,249,3,2,40,17,102,248,0,4,291,68,1,1
547271,Praha-Suchdol,4 635,3 413,3 393,655,1,1,0,2,145,165,0,3,510,28,12,4,1,5,0,434,0,7,64,83,166,414,0,4,537,147,2,3
539724,Praha-Šeberov,2 145,1 588,1 581,341,2,1,3,4,58,57,1,1,343,23,3,0,2,8,3,61,1,5,34,19,86,218,0,0,252,53,1,1
547409,Praha-Štěrboholy,1 275,975,972,235,2,0,0,1,33,35,0,4,213,7,3,0,1,0,1,48,0,3,9,16,36,125,0,2,158,39,0,1
547328,Praha-Troja,889,699,693,107,3,0,0,0,16,47,1,0,138,6,1,1,0,2,0,66,1,0,10,17,22,135,0,1,94,25,0,0
539791,Praha-Újezd,2 085,1 583,1 577,337,2,1,3,1,59,67,0,2,292,15,8,0,0,4,2,80,0,6,38,31,95,205,0,0,272,55,1,1
547115,Praha-Velká Chuchle,1 746,1 313,1 304,243,0,0,0,3,52,49,0,1,260,5,2,0,0,1,3,77,3,1,19,28,82,209,1,1,213,51,0,0
539007,Praha-Vinoř,2 945,2 166,2 158,486,2,4,1,2,85,138,1,2,337,11,8,2,0,2,1,201,1,6,40,35,154,204,0,1,318,107,1,8
539864,Praha-Zbraslav,7 359,5 210,5 173,1 045,5,4,4,2,215,263,1,12,905,63,22,1,10,8,2,249,2,15,102,124,280,657,0,4,915,255,1,7
539899,Praha-Zličín,4 079,2 826,2 801,623,2,0,1,4,125,131,1,6,472,33,15,0,2,5,2,169,4,6,50,33,166,347,0,2,490,111,0,1
